ID,Team,Photo
1,Almeria,https://d2zywfiolv4f83.cloudfront.net/img/teams/1799.png
2,Athletic Bilbao,https://d2zywfiolv4f83.cloudfront.net/img/teams/53.png
3,Atletico Madrid,https://d2zywfiolv4f83.cloudfront.net/img/teams/63.png
4,Barcelona,https://d2zywfiolv4f83.cloudfront.net/img/teams/65.png
5,Cadiz,https://d2zywfiolv4f83.cloudfront.net/img/teams/1354.png
6,Celta Vigo,https://d2zywfiolv4f83.cloudfront.net/img/teams/62.png
7,Cordoba,https://d2zywfiolv4f83.cloudfront.net/img/teams/820.png
8,Deportivo Alaves,https://d2zywfiolv4f83.cloudfront.net/img/teams/60.png
9,Deportivo La Coruna,https://d2zywfiolv4f83.cloudfront.net/img/teams/59.png
10,Eibar,https://d2zywfiolv4f83.cloudfront.net/img/teams/824.png
11,Elche,https://d2zywfiolv4f83.cloudfront.net/img/teams/833.png
12,Espanyol,https://d2zywfiolv4f83.cloudfront.net/img/teams/70.png
13,Getafe,https://d2zywfiolv4f83.cloudfront.net/img/teams/819.png
14,Girona,https://d2zywfiolv4f83.cloudfront.net/img/teams/2783.png
15,Granada,https://d2zywfiolv4f83.cloudfront.net/img/teams/925.png
16,Hercules,https://d2zywfiolv4f83.cloudfront.net/img/teams/1857.png
17,Huesca,https://d2zywfiolv4f83.cloudfront.net/img/teams/5006.png
18,Las Palmas,https://d2zywfiolv4f83.cloudfront.net/img/teams/838.png
19,Leganes,https://d2zywfiolv4f83.cloudfront.net/img/teams/825.png
20,Levante,https://d2zywfiolv4f83.cloudfront.net/img/teams/832.png
21,Malaga,https://d2zywfiolv4f83.cloudfront.net/img/teams/69.png
22,Mallorca,https://d2zywfiolv4f83.cloudfront.net/img/teams/51.png
23,Osasuna,https://d2zywfiolv4f83.cloudfront.net/img/teams/131.png
24,Racing Santander,https://d2zywfiolv4f83.cloudfront.net/img/teams/56.png
25,Rayo Vallecano,https://d2zywfiolv4f83.cloudfront.net/img/teams/64.png
26,Real Betis,https://d2zywfiolv4f83.cloudfront.net/img/teams/54.png
27,Real Madrid,https://d2zywfiolv4f83.cloudfront.net/img/teams/52.png
28,Real Sociedad,https://d2zywfiolv4f83.cloudfront.net/img/teams/68.png
29,Real Valladolid,https://d2zywfiolv4f83.cloudfront.net/img/teams/58.png
30,Real Zaragoza,https://d2zywfiolv4f83.cloudfront.net/img/teams/66.png
31,Sevilla,https://d2zywfiolv4f83.cloudfront.net/img/teams/67.png
32,Sporting Gijon,https://d2zywfiolv4f83.cloudfront.net/img/teams/830.png
33,Valencia,https://d2zywfiolv4f83.cloudfront.net/img/teams/55.png
34,Villarreal,https://d2zywfiolv4f83.cloudfront.net/img/teams/839.png
